member,chamber,filing_type,state_district,year,filing_date,doc_id,source_file
Cortney Peterson,House,C,OH11,2025,2026-01-15,10072988,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Gavriel Eliyahu Soriano,House,C,FL11,2024,2026-01-15,10073206,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2024FD\2024FD.txt
Hon. Dan Newhouse,House,P,WA04,2026,2026-01-15,20033654,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
Hon. Julie Johnson,House,P,TX32,2026,2026-01-15,20033789,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
Hon. Richard W. Allen,House,P,GA12,2026,2026-01-15,20033751,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
Hon. Roger Williams,House,P,TX25,2026,2026-01-15,20033783,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
Jay Fondren,House,C,TX08,2025,2026-01-15,10073214,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
John J. Padora Jr,House,A,CO04,2025,2026-01-15,10073212,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Peter Karl Oberacker Jr.,House,C,NY19,2025,2026-01-15,10072975,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Rebecca Cooke,House,A,WI03,2025,2026-01-15,10073211,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Hon. James D Jordan,House,P,OH04,2026,2026-01-14,20033803,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
Hon. Jerry Lee Carl,House,C,AL01,2026,2026-01-14,10073197,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
Hon. Josh Gottheimer,House,P,NJ05,2026,2026-01-14,20033756,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
Hon. Rick Larsen,House,P,WA02,2026,2026-01-14,20033814,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
Hon. Sheri Biggs,House,P,SC03,2026,2026-01-14,20033800,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
Hon. Steve Cohen,House,P,TN09,2026,2026-01-14,20033754,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
John Bartlett,House,C,NJ11,2026,2026-01-14,10073181,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
Mallory Dittmer,House,C,SC05,2025,2026-01-14,10072650,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Mark Charles Teixeira,House,A,TX21,2025,2026-01-14,10073192,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Mrs. Melissa Conyears-Ervin,House,C,IL07,2025,2026-01-14,10073142,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Vincent Morris,House,C,DC00,2025,2026-01-14,10073199,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Doug Rogers,House,X,TX36,2026,2026-01-13,8221293,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
Hon. James A. Himes,House,A,CT04,2023,2026-01-13,8221298,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2023FD\2023FD.txt
Hon. Julia Letlow,House,A,LA05,2020,2026-01-13,10073024,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2020FD\2020FD.txt
Hon. Julia Letlow,House,A,LA05,2021,2026-01-13,10073016,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2021FD\2021FD.txt
Hon. Julia Letlow,House,A,LA05,2021,2026-01-13,10073026,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2021FD\2021FD.txt
Hon. Julia Letlow,House,A,LA05,2022,2026-01-13,10072973,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2022FD\2022FD.txt
Hon. Julia Letlow,House,A,LA05,2023,2026-01-13,10072807,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2023FD\2023FD.txt
Hon. Julia Letlow,House,A,LA05,2024,2026-01-13,10072697,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2024FD\2024FD.txt
Hon. Julia Letlow,House,P,LA05,2026,2026-01-13,20030977,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
John Trobough,House,X,AZ01,2026,2026-01-13,8221294,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
Laurie Buckhout,House,X,NC01,2026,2026-01-13,8221292,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
Mrs. Melissa Conyears-Ervin,House,C,IL07,2024,2026-01-13,10073191,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2024FD\2024FD.txt
Wanda James,House,C,CO01,2025,2026-01-13,10072630,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Colin Allred,House,X,TX33,2025,2026-01-12,30025627,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Dan F. Barrios,House,X,TX32,2025,2026-01-12,30025628,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Deadra Marsh-Foy,House,C,TX05,2025,2026-01-12,10073186,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Eustaquio Castro-Mendoza,House,X,TX27,2025,2026-01-12,30025623,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Hon. David Trone,House,X,MD06,2025,2026-01-12,30025625,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2025FD\2025FD.txt
Hon. Debbie Dingell,House,P,MI06,2026,2026-01-12,20033744,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
Hon. Gilbert Cisneros,House,P,CA31,2026,2026-01-12,20033762,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
Hon. Suzan K. DelBene,House,P,WA01,2026,2026-01-12,20033766,C:\Users\andre\OneDrive\Desktop\03_Coding\F9_CongressTrading\data\raw\house\2026FD\2026FD.txt
